Series ID,Year,Period,Label,Value
CES4244110001,1972,M01,1972 Jan,797.7
CES4244110001,1972,M02,1972 Feb,803.4
CES4244110001,1972,M03,1972 Mar,807.1
CES4244110001,1972,M04,1972 Apr,811.9
CES4244110001,1972,M05,1972 May,812.6
CES4244110001,1972,M06,1972 Jun,811.8
CES4244110001,1972,M07,1972 Jul,809.2
CES4244110001,1972,M08,1972 Aug,809.8
CES4244110001,1972,M09,1972 Sep,808.9
CES4244110001,1972,M10,1972 Oct,811.0
CES4244110001,1972,M11,1972 Nov,817.4
CES4244110001,1972,M12,1972 Dec,824.2
CES4244110001,1973,M01,1973 Jan,835.3
CES4244110001,1973,M02,1973 Feb,842.4
CES4244110001,1973,M03,1973 Mar,846.4
CES4244110001,1973,M04,1973 Apr,848.9
CES4244110001,1973,M05,1973 May,849.5
CES4244110001,1973,M06,1973 Jun,848.0
CES4244110001,1973,M07,1973 Jul,846.0
CES4244110001,1973,M08,1973 Aug,842.1
CES4244110001,1973,M09,1973 Sep,840.8
CES4244110001,1973,M10,1973 Oct,838.5
CES4244110001,1973,M11,1973 Nov,840.9
CES4244110001,1973,M12,1973 Dec,833.8
CES4244110001,1974,M01,1974 Jan,818.1
CES4244110001,1974,M02,1974 Feb,807.1
CES4244110001,1974,M03,1974 Mar,795.7
CES4244110001,1974,M04,1974 Apr,793.4
CES4244110001,1974,M05,1974 May,790.7
CES4244110001,1974,M06,1974 Jun,788.6
CES4244110001,1974,M07,1974 Jul,789.0
CES4244110001,1974,M08,1974 Aug,789.5
CES4244110001,1974,M09,1974 Sep,790.0
CES4244110001,1974,M10,1974 Oct,788.4
CES4244110001,1974,M11,1974 Nov,782.4
CES4244110001,1974,M12,1974 Dec,771.8
CES4244110001,1975,M01,1975 Jan,764.2
CES4244110001,1975,M02,1975 Feb,761.5
CES4244110001,1975,M03,1975 Mar,759.8
CES4244110001,1975,M04,1975 Apr,760.8
CES4244110001,1975,M05,1975 May,762.9
CES4244110001,1975,M06,1975 Jun,765.8
CES4244110001,1975,M07,1975 Jul,767.9
CES4244110001,1975,M08,1975 Aug,770.1
CES4244110001,1975,M09,1975 Sep,771.4
CES4244110001,1975,M10,1975 Oct,774.1
CES4244110001,1975,M11,1975 Nov,784.2
CES4244110001,1975,M12,1975 Dec,789.9
CES4244110001,1976,M01,1976 Jan,796.8
CES4244110001,1976,M02,1976 Feb,802.3
CES4244110001,1976,M03,1976 Mar,805.8
