Series ID,Year,Period,Label,Value
CES3133600101,1990,M01,1990 Jan,975.5
CES3133600101,1990,M02,1990 Feb,1090.8
CES3133600101,1990,M03,1990 Mar,1087.6
CES3133600101,1990,M04,1990 Apr,1085.3
CES3133600101,1990,M05,1990 May,1078.9
CES3133600101,1990,M06,1990 Jun,1077.6
CES3133600101,1990,M07,1990 Jul,1066.8
CES3133600101,1990,M08,1990 Aug,1055.6
CES3133600101,1990,M09,1990 Sep,1058.4
CES3133600101,1990,M10,1990 Oct,1060.8
CES3133600101,1990,M11,1990 Nov,999.5
CES3133600101,1990,M12,1990 Dec,1015.7
CES3133600101,1991,M01,1991 Jan,996.5
CES3133600101,1991,M02,1991 Feb,983.7
CES3133600101,1991,M03,1991 Mar,973.5
CES3133600101,1991,M04,1991 Apr,995.5
CES3133600101,1991,M05,1991 May,1018.6
CES3133600101,1991,M06,1991 Jun,1013.2
CES3133600101,1991,M07,1991 Jul,1030.4
CES3133600101,1991,M08,1991 Aug,1033.4
CES3133600101,1991,M09,1991 Sep,1041.5
CES3133600101,1991,M10,1991 Oct,1044.9
CES3133600101,1991,M11,1991 Nov,1042.1
CES3133600101,1991,M12,1991 Dec,1042.2
CES3133600101,1992,M01,1992 Jan,1005.5
CES3133600101,1992,M02,1992 Feb,1040.9
CES3133600101,1992,M03,1992 Mar,1048.0
CES3133600101,1992,M04,1992 Apr,1056.5
CES3133600101,1992,M05,1992 May,1055.7
CES3133600101,1992,M06,1992 Jun,1052.1
CES3133600101,1992,M07,1992 Jul,1051.5
CES3133600101,1992,M08,1992 Aug,1048.8
CES3133600101,1992,M09,1992 Sep,1044.7
CES3133600101,1992,M10,1992 Oct,1047.5
CES3133600101,1992,M11,1992 Nov,1058.1
CES3133600101,1992,M12,1992 Dec,1062.9
CES3133600101,1993,M01,1993 Jan,1076.3
CES3133600101,1993,M02,1993 Feb,1074.0
CES3133600101,1993,M03,1993 Mar,1069.1
CES3133600101,1993,M04,1993 Apr,1064.5
CES3133600101,1993,M05,1993 May,1064.3
CES3133600101,1993,M06,1993 Jun,1064.3
CES3133600101,1993,M07,1993 Jul,1069.7
CES3133600101,1993,M08,1993 Aug,1074.6
CES3133600101,1993,M09,1993 Sep,1082.8
CES3133600101,1993,M10,1993 Oct,1090.8
CES3133600101,1993,M11,1993 Nov,1098.2
CES3133600101,1993,M12,1993 Dec,1109.2
CES3133600101,1994,M01,1994 Jan,1125.8
CES3133600101,1994,M02,1994 Feb,1127.9
CES3133600101,1994,M03,1994 Mar,1134.0
CES3133600101,1994,M04,1994 Apr,1142.1
CES3133600101,1994,M05,1994 May,1150.2
CES3133600101,1994,M06,1994 Jun,1160.6
CES3133600101,1994,M07,1994 Jul,1161.1
CES3133600101,1994,M08,1994 Aug,1180.7
