Series ID,Year,Period,Label,Value
CES4244100001,1990,M01,1990 Jan,1509.2
CES4244100001,1990,M02,1990 Feb,1510.9
CES4244100001,1990,M03,1990 Mar,1508.3
CES4244100001,1990,M04,1990 Apr,1505.7
CES4244100001,1990,M05,1990 May,1502.8
CES4244100001,1990,M06,1990 Jun,1498.9
CES4244100001,1990,M07,1990 Jul,1495.5
CES4244100001,1990,M08,1990 Aug,1491.2
CES4244100001,1990,M09,1990 Sep,1489.4
CES4244100001,1990,M10,1990 Oct,1482.0
CES4244100001,1990,M11,1990 Nov,1474.1
CES4244100001,1990,M12,1990 Dec,1468.5
CES4244100001,1991,M01,1991 Jan,1460.2
CES4244100001,1991,M02,1991 Feb,1447.6
CES4244100001,1991,M03,1991 Mar,1438.5
CES4244100001,1991,M04,1991 Apr,1435.6
CES4244100001,1991,M05,1991 May,1432.9
CES4244100001,1991,M06,1991 Jun,1430.9
CES4244100001,1991,M07,1991 Jul,1430.4
CES4244100001,1991,M08,1991 Aug,1430.1
CES4244100001,1991,M09,1991 Sep,1431.2
CES4244100001,1991,M10,1991 Oct,1433.1
CES4244100001,1991,M11,1991 Nov,1429.0
CES4244100001,1991,M12,1991 Dec,1425.5
CES4244100001,1992,M01,1992 Jan,1423.8
CES4244100001,1992,M02,1992 Feb,1423.3
CES4244100001,1992,M03,1992 Mar,1424.6
CES4244100001,1992,M04,1992 Apr,1427.1
CES4244100001,1992,M05,1992 May,1427.5
CES4244100001,1992,M06,1992 Jun,1428.1
CES4244100001,1992,M07,1992 Jul,1427.3
CES4244100001,1992,M08,1992 Aug,1426.8
CES4244100001,1992,M09,1992 Sep,1427.6
CES4244100001,1992,M10,1992 Oct,1430.4
CES4244100001,1992,M11,1992 Nov,1434.2
CES4244100001,1992,M12,1992 Dec,1438.5
CES4244100001,1993,M01,1993 Jan,1444.8
CES4244100001,1993,M02,1993 Feb,1450.0
CES4244100001,1993,M03,1993 Mar,1453.7
CES4244100001,1993,M04,1993 Apr,1458.4
CES4244100001,1993,M05,1993 May,1463.8
CES4244100001,1993,M06,1993 Jun,1469.5
CES4244100001,1993,M07,1993 Jul,1476.1
CES4244100001,1993,M08,1993 Aug,1483.6
CES4244100001,1993,M09,1993 Sep,1490.9
CES4244100001,1993,M10,1993 Oct,1497.8
CES4244100001,1993,M11,1993 Nov,1504.7
CES4244100001,1993,M12,1993 Dec,1513.2
CES4244100001,1994,M01,1994 Jan,1521.0
CES4244100001,1994,M02,1994 Feb,1530.1
CES4244100001,1994,M03,1994 Mar,1540.9
CES4244100001,1994,M04,1994 Apr,1549.9
CES4244100001,1994,M05,1994 May,1555.3
CES4244100001,1994,M06,1994 Jun,1559.6
CES4244100001,1994,M07,1994 Jul,1568.6
CES4244100001,1994,M08,1994 Aug,1576.6
CES4244100001,1994,M09,1994 Sep,1584.0
CES4244100001,1994,M10,1994 Oct,1589.0
CES4244100001,1994,M11,1994 Nov,1598.6
CES4244100001,1994,M12,1994 Dec,1606.0
CES4244100001,1995,M01,1995 Jan,1611.4
CES4244100001,1995,M02,1995 Feb,1616.2
CES4244100001,1995,M03,1995 Mar,1617.4
CES4244100001,1995,M04,1995 Apr,1619.3
CES4244100001,1995,M05,1995 May,1621.0
CES4244100001,1995,M06,1995 Jun,1623.5
CES4244100001,1995,M07,1995 Jul,1625.5
CES4244100001,1995,M08,1995 Aug,1629.7
CES4244100001,1995,M09,1995 Sep,1634.3
CES4244100001,1995,M10,1995 Oct,1638.8
CES4244100001,1995,M11,1995 Nov,1643.3
